path	transcription
imgs/1940/AL/d116/m-t0627-00025-00463_occ_row_27.jpg	dress maker
imgs/1940/AL/d116/m-t0627-00055-00261_occ_row_28.jpg	house painter
imgs/1940/AL/d117/m-t0627-00065-00173_occ_row_27.jpg	optometrist
imgs/1940/AL/d117/m-t0627-00091-00236_occ_row_12.jpg	shoeshine
imgs/1940/AL/d117/m-t0627-00091-00236_occ_row_39.jpg	tinner
imgs/1940/AL/d117/m-t0627-00096-00426_occ_row_11.jpg	polisher
imgs/1940/AL/d119/m-t0627-00045-00819_occ_row_12.jpg	apprentice
imgs/1940/AL/d119/m-t0627-00092-00741_occ_row_14.jpg	installer
imgs/1940/AL/d119/m-t0627-00092-00741_occ_row_6.jpg	millwright
imgs/1940/AL/d119/m-t0627-00096-00062_occ_row_2.jpg	deliveryman
imgs/1940/AL/d12/m-t0627-00029-00322_occ_row_23.jpg	book binding
imgs/1940/AL/d120/m-t0627-00047-00423_occ_row_21.jpg	millwright
imgs/1940/AL/d120/m-t0627-00086-00021_occ_row_4.jpg	sheriff
imgs/1940/AL/d121/m-t0627-00008-00344_occ_row_26.jpg	homemaking
imgs/1940/AL/d121/m-t0627-00030-00124_occ_row_32.jpg	saleswomen
imgs/1940/AL/d121/m-t0627-00064-00084_occ_row_34.jpg	boilermaker
imgs/1940/AL/d122/m-t0627-00032-00043_occ_row_10.jpg	bellboy
imgs/1940/AL/d122/m-t0627-00096-00082_occ_row_16.jpg	hairdresser
imgs/1940/AL/d123/m-t0627-00022-00185_occ_row_23.jpg	deliveryman
imgs/1940/AL/d123/m-t0627-00068-00063_occ_row_11.jpg	ship clerk
imgs/1940/AL/d123/m-t0627-00085-00015_occ_row_14.jpg	installer
imgs/1940/AL/d124/m-t0627-00068-00059_occ_row_33.jpg	ship clerk
imgs/1940/AL/d126/m-t0627-00045-00405_occ_row_29.jpg	brickmason
imgs/1940/AL/d126/m-t0627-00069-00346_occ_row_35.jpg	chiropractor
imgs/1940/AL/d126/m-t0627-00083-00607_occ_row_29.jpg	shipping
imgs/1940/AL/d126/m-t0627-00087-00435_occ_row_19.jpg	repairman
imgs/1940/AL/d127/m-t0627-00083-00508_occ_row_9.jpg	schoolteacher
imgs/1940/AL/d128/m-t0627-00096-00523_occ_row_12.jpg	shoemaker
imgs/1940/AL/d129/m-t0627-00069-00212_occ_row_25.jpg	examiner
imgs/1940/AL/d129/m-t0627-00069-00212_occ_row_5.jpg	serviceman
imgs/1940/AL/d130/m-t0627-00022-00017_occ_row_21.jpg	welding
imgs/1940/AL/d130/m-t0627-00022-00017_occ_row_7.jpg	sales women
imgs/1940/AL/d130/m-t0627-00042-00590_occ_row_24.jpg	upholsterer
imgs/1940/AL/d131/m-t0627-00014-00759_occ_row_30.jpg	farmer
imgs/1940/AL/d131/m-t0627-00014-00759_occ_row_38.jpg	farmer
imgs/1940/AL/d131/m-t0627-00014-00759_occ_row_4.jpg	farmer
imgs/1940/AL/d131/m-t0627-00024-00718_occ_row_23.jpg	farm work
imgs/1940/AL/d131/m-t0627-00024-00718_occ_row_24.jpg	farm work
imgs/1940/AL/d131/m-t0627-00024-00718_occ_row_25.jpg	farm work
imgs/1940/AL/d131/m-t0627-00024-00718_occ_row_30.jpg	farmer operator
imgs/1940/AL/d131/m-t0627-00036-00184_occ_row_30.jpg	labner
imgs/1940/AL/d131/m-t0627-00095-00916_occ_row_3.jpg	bricklayer
imgs/1940/AL/d131/m-t0627-00096-00715_occ_row_10.jpg	bookkeeping
imgs/1940/AL/d132/m-t0627-00062-00942_occ_row_19.jpg	house painter
imgs/1940/AL/d132/m-t0627-00062-00942_occ_row_21.jpg	house painter
imgs/1940/AL/d132/m-t0627-00082-00197_occ_row_27.jpg	bellboy
imgs/1940/AL/d133/m-t0627-00050-00161_occ_row_36.jpg	deliverer
imgs/1940/AL/d133/m-t0627-00056-00618_occ_row_22.jpg	family worker
imgs/1940/AL/d133/m-t0627-00056-00618_occ_row_32.jpg	family worker
imgs/1940/AL/d133/m-t0627-00067-00159_occ_row_3.jpg	f g sicer
imgs/1940/AL/d133/m-t0627-00067-00159_occ_row_5.jpg	z g sicer
imgs/1940/AL/d133/m-t0627-00068-00358_occ_row_40.jpg	joiner
imgs/1940/AL/d134/m-t0627-00008-00449_occ_row_31.jpg	form setter
imgs/1940/AL/d134/m-t0627-00032-00405_occ_row_9.jpg	teacher
imgs/1940/AL/d134/m-t0627-00037-00183_occ_row_37.jpg	farming
imgs/1940/AL/d134/m-t0627-00095-00702_occ_row_15.jpg	owner
imgs/1940/AL/d134/m-t0627-00097-00709_occ_row_16.jpg	deliveryman
imgs/1940/AL/d135/m-t0627-00011-00349_occ_row_36.jpg	mill worker
imgs/1940/AL/d135/m-t0627-00031-00835_occ_row_23.jpg	millwright
imgs/1940/AL/d135/m-t0627-00038-00081_occ_row_22.jpg	sheriff
imgs/1940/AL/d135/m-t0627-00044-00180_occ_row_25.jpg	coupler
imgs/1940/AL/d135/m-t0627-00063-00906_occ_row_17.jpg	brickmason
imgs/1940/AL/d135/m-t0627-00064-00669_occ_row_36.jpg	teacher
imgs/1940/AL/d135/m-t0627-00068-00459_occ_row_15.jpg	salesman
imgs/1940/AL/d135/m-t0627-00079-00788_occ_row_30.jpg	miner
imgs/1940/AL/d135/m-t0627-00095-00910_occ_row_10.jpg	gornett
imgs/1940/AL/d135/m-t0627-00095-00910_occ_row_11.jpg	gornett
imgs/1940/AL/d135/m-t0627-00097-00639_occ_row_17.jpg	barber
imgs/1940/AL/d136/m-t0627-00002-00661_occ_row_7.jpg	farm laborer
imgs/1940/AL/d136/m-t0627-00031-00780_occ_row_11.jpg	sales women
imgs/1940/AL/d136/m-t0627-00069-00363_occ_row_2.jpg	surgeon
imgs/1940/AL/d136/m-t0627-00069-00363_occ_row_4.jpg	surgeon
imgs/1940/AL/d136/m-t0627-00077-00153_occ_row_40.jpg	laundering
imgs/1940/AL/d137/m-t0627-00014-00432_occ_row_10.jpg	sawyer
imgs/1940/AL/d137/m-t0627-00019-00410_occ_row_32.jpg	garment
imgs/1940/AL/d137/m-t0627-00046-00071_occ_row_10.jpg	construction foreman
imgs/1940/AL/d137/m-t0627-00056-00120_occ_row_10.jpg	barber
imgs/1940/AL/d137/m-t0627-00062-00481_occ_row_35.jpg	falder
imgs/1940/AL/d137/m-t0627-00068-00314_occ_row_12.jpg	fitter
imgs/1940/AL/d137/m-t0627-00091-00302_occ_row_32.jpg	clerical
imgs/1940/AL/d137/m-t0627-00096-00045_occ_row_14.jpg	barber
imgs/1940/AL/d138/m-t0627-00009-00573_occ_row_6.jpg	carrier
imgs/1940/AL/d138/m-t0627-00016-00248_occ_row_26.jpg	farm
imgs/1940/AL/d138/m-t0627-00016-00248_occ_row_33.jpg	farm
imgs/1940/AL/d138/m-t0627-00016-00248_occ_row_38.jpg	farm
imgs/1940/AL/d138/m-t0627-00024-00062_occ_row_15.jpg	farmhouse
imgs/1940/AL/d138/m-t0627-00026-00169_occ_row_20.jpg	looper
imgs/1940/AL/d138/m-t0627-00026-00169_occ_row_34.jpg	knitter
imgs/1940/AL/d138/m-t0627-00026-00169_occ_row_9.jpg	looper
imgs/1940/AL/d138/m-t0627-00045-00592_occ_row_12.jpg	miner
imgs/1940/AL/d138/m-t0627-00052-00080_occ_row_4.jpg	laundress
imgs/1940/AL/d138/m-t0627-00052-00080_occ_row_6.jpg	laundress
imgs/1940/AL/d138/m-t0627-00058-00366_occ_row_30.jpg	farm worker
imgs/1940/AL/d138/m-t0627-00062-00500_occ_row_37.jpg	null work
imgs/1940/AL/d138/m-t0627-00098-00513_occ_row_36.jpg	stenography
imgs/1940/AL/d138/m-t0627-00098-00513_occ_row_38.jpg	flagman
imgs/1940/AL/d139/m-t0627-00092-00063_occ_row_1.jpg	porter
imgs/1940/AL/d14/m-t0627-00002-00259_occ_row_10.jpg	laborer farming
imgs/1940/AL/d14/m-t0627-00007-00814_occ_row_20.jpg	farm laborer
imgs/1940/AL/d14/m-t0627-00009-00595_occ_row_24.jpg	apprentice
imgs/1940/AL/d14/m-t0627-00018-00143_occ_row_24.jpg	farming
imgs/1940/AL/d14/m-t0627-00044-00378_occ_row_35.jpg	carpenter
imgs/1940/AL/d14/m-t0627-00080-00159_occ_row_39.jpg	carpenter
imgs/1940/AL/d14/m-t0627-00085-00517_occ_row_24.jpg	saw man
imgs/1940/AL/d14/m-t0627-00085-00517_occ_row_40.jpg	yardman
imgs/1940/AL/d140/m-t0627-00001-00026_occ_row_6.jpg	trader
imgs/1940/AL/d140/m-t0627-00010-00957_occ_row_5.jpg	spinner
imgs/1940/AL/d140/m-t0627-00014-00107_occ_row_26.jpg	waitress
imgs/1940/AL/d140/m-t0627-00058-00811_occ_row_23.jpg	plainer
imgs/1940/AL/d140/m-t0627-00059-00176_occ_row_10.jpg	preacher
imgs/1940/AL/d140/m-t0627-00063-00199_occ_row_10.jpg	glazer
imgs/1940/AL/d140/m-t0627-00096-00054_occ_row_40.jpg	tardwer
imgs/1940/AL/d140/m-t0627-00098-00036_occ_row_39.jpg	mechineat
imgs/1940/AL/d141/m-t0627-00014-00318_occ_row_3.jpg	sanage cherkter
imgs/1940/AL/d141/m-t0627-00021-00197_occ_row_35.jpg	laborer farmer
imgs/1940/AL/d141/m-t0627-00034-00432_occ_row_34.jpg	ironer
imgs/1940/AL/d141/m-t0627-00040-00304_occ_row_31.jpg	chauffeur
imgs/1940/AL/d141/m-t0627-00090-00306_occ_row_21.jpg	farmhand
imgs/1940/AL/d142/m-t0627-00007-00449_occ_row_1.jpg	foreman
imgs/1940/AL/d142/m-t0627-00024-00343_occ_row_36.jpg	building
imgs/1940/AL/d142/m-t0627-00054-00015_occ_row_35.jpg	foreman
imgs/1940/AL/d142/m-t0627-00061-00507_occ_row_6.jpg	laborer farming
imgs/1940/AL/d142/m-t0627-00069-00156_occ_row_16.jpg	receptionist
imgs/1940/AL/d142/m-t0627-00069-00575_occ_row_23.jpg	traveling salesman
imgs/1940/AL/d142/m-t0627-00069-00575_occ_row_25.jpg	rodman
imgs/1940/AL/d142/m-t0627-00077-00555_occ_row_18.jpg	farm laborer
imgs/1940/AL/d142/m-t0627-00093-00158_occ_row_40.jpg	examiner
imgs/1940/AL/d142/m-t0627-00098-00631_occ_row_28.jpg	janitor
imgs/1940/AL/d143/m-t0627-00010-01123_occ_row_17.jpg	worker
imgs/1940/AL/d143/m-t0627-00015-00744_occ_row_14.jpg	farming
imgs/1940/AL/d143/m-t0627-00025-00412_occ_row_19.jpg	partner
imgs/1940/AL/d143/m-t0627-00026-00234_occ_row_26.jpg	folder
imgs/1940/AL/d143/m-t0627-00046-00061_occ_row_26.jpg	miner
imgs/1940/AL/d143/m-t0627-00055-00107_occ_row_26.jpg	landscaper
imgs/1940/AL/d143/m-t0627-00064-00303_occ_row_29.jpg	salesgirl
imgs/1940/AL/d143/m-t0627-00064-00303_occ_row_30.jpg	bookbinder
imgs/1940/AL/d143/m-t0627-00085-00022_occ_row_6.jpg	designer
imgs/1940/AL/d143/m-t0627-00091-00671_occ_row_27.jpg	bookbinder
imgs/1940/AL/d144/m-t0627-00028-00905_occ_row_5.jpg	farm laboer
imgs/1940/AL/d144/m-t0627-00029-00817_occ_row_24.jpg	farmer logging
imgs/1940/AL/d144/m-t0627-00058-00912_occ_row_34.jpg	chores farm
imgs/1940/AL/d144/m-t0627-00058-00912_occ_row_9.jpg	pemer laborer
imgs/1940/AL/d145/m-t0627-00057-00351_occ_row_10.jpg	janitor
imgs/1940/AL/d145/m-t0627-00070-00624_occ_row_23.jpg	studies
imgs/1940/AL/d145/m-t0627-00070-00624_occ_row_37.jpg	studies
imgs/1940/AL/d145/m-t0627-00070-00624_occ_row_38.jpg	student
imgs/1940/AL/d145/m-t0627-00078-00369_occ_row_21.jpg	weaver
imgs/1940/AL/d145/m-t0627-00082-00171_occ_row_15.jpg	heimmer
imgs/1940/AL/d145/m-t0627-00094-00445_occ_row_37.jpg	clerk
imgs/1940/AL/d146/m-t0627-00003-00344_occ_row_6.jpg	jonn north
imgs/1940/AL/d146/m-t0627-00007-00564_occ_row_20.jpg	trummy
imgs/1940/AL/d146/m-t0627-00007-00564_occ_row_31.jpg	teacher
imgs/1940/AL/d146/m-t0627-00008-00384_occ_row_6.jpg	mill worker
imgs/1940/AL/d146/m-t0627-00010-01077_occ_row_21.jpg	operating
imgs/1940/AL/d146/m-t0627-00010-01077_occ_row_35.jpg	operating
imgs/1940/AL/d146/m-t0627-00013-00430_occ_row_19.jpg	saw mill foreman
imgs/1940/AL/d146/m-t0627-00042-00504_occ_row_38.jpg	painter
imgs/1940/AL/d146/m-t0627-00050-00268_occ_row_30.jpg	dish washer
imgs/1940/AL/d146/m-t0627-00050-00268_occ_row_6.jpg	painter
imgs/1940/AL/d146/m-t0627-00058-00186_occ_row_2.jpg	painter farm work
imgs/1940/AL/d146/m-t0627-00058-00186_occ_row_3.jpg	laborer farm work
imgs/1940/AL/d147/m-t0627-00007-00106_occ_row_24.jpg	labor farmer
imgs/1940/AL/d147/m-t0627-00018-00139_occ_row_18.jpg	labuer
imgs/1940/AL/d147/m-t0627-00058-00969_occ_row_33.jpg	labor foreman
imgs/1940/AL/d147/m-t0627-00067-00040_occ_row_6.jpg	ironer
imgs/1940/AL/d147/m-t0627-00095-00492_occ_row_1.jpg	serviceman
imgs/1940/AL/d147/m-t0627-00095-00492_occ_row_34.jpg	dentist
imgs/1940/AL/d147/m-t0627-00095-00492_occ_row_38.jpg	installer
imgs/1940/AL/d147/m-t0627-00095-00492_occ_row_5.jpg	bookbinding
imgs/1940/AL/d147/m-t0627-00098-00103_occ_row_28.jpg	lnspector
imgs/1940/AL/d148/m-t0627-00028-00862_occ_row_3.jpg	farmhand
imgs/1940/AL/d148/m-t0627-00030-00521_occ_row_28.jpg	supervisor tire room
imgs/1940/AL/d148/m-t0627-00045-00328_occ_row_21.jpg	ferryman
imgs/1940/AL/d148/m-t0627-00065-00377_occ_row_19.jpg	pay master
imgs/1940/AL/d149/m-t0627-00010-00758_occ_row_20.jpg	farm labour
imgs/1940/AL/d149/m-t0627-00032-00305_occ_row_24.jpg	farm manager
imgs/1940/AL/d149/m-t0627-00068-00682_occ_row_5.jpg	porter
imgs/1940/AL/d15/m-t0627-00019-00233_occ_row_27.jpg	farm operator
imgs/1940/AL/d15/m-t0627-00019-00233_occ_row_5.jpg	farm operator
imgs/1940/AL/d15/m-t0627-00047-00006_occ_row_36.jpg	laber
imgs/1940/AL/d150/m-t0627-00010-00952_occ_row_27.jpg	spimes
imgs/1940/AL/d150/m-t0627-00025-00411_occ_row_34.jpg	grocer
imgs/1940/AL/d150/m-t0627-00029-00601_occ_row_23.jpg	mill worker
imgs/1940/AL/d150/m-t0627-00040-00510_occ_row_14.jpg	common laborer
imgs/1940/AL/d150/m-t0627-00067-00612_occ_row_35.jpg	porter
imgs/1940/AL/d150/m-t0627-00073-00064_occ_row_2.jpg	helper
imgs/1940/AL/d150/m-t0627-00094-00552_occ_row_23.jpg	broker
imgs/1940/AL/d150/m-t0627-00094-00552_occ_row_24.jpg	freight solister
imgs/1940/AL/d151/m-t0627-00028-00249_occ_row_17.jpg	farm operator
imgs/1940/AL/d151/m-t0627-00040-00043_occ_row_3.jpg	shoeshine
imgs/1940/AL/d151/m-t0627-00055-00087_occ_row_16.jpg	deliverer
imgs/1940/AL/d151/m-t0627-00058-00430_occ_row_16.jpg	laborer farmey
imgs/1940/AL/d151/m-t0627-00063-00621_occ_row_6.jpg	carpenter
imgs/1940/AL/d151/m-t0627-00086-00577_occ_row_23.jpg	lumber man
imgs/1940/AL/d152/m-t0627-00006-00230_occ_row_30.jpg	helper
imgs/1940/AL/d152/m-t0627-00024-00989_occ_row_3.jpg	laber
imgs/1940/AL/d152/m-t0627-00033-00671_occ_row_16.jpg	farmer laborer
imgs/1940/AL/d152/m-t0627-00052-00149_occ_row_12.jpg	ironer
imgs/1940/AL/d152/m-t0627-00063-00104_occ_row_10.jpg	sawyer
imgs/1940/AL/d152/m-t0627-00064-00586_occ_row_38.jpg	dietician
imgs/1940/AL/d152/m-t0627-00077-00536_occ_row_34.jpg	farmer laborer
imgs/1940/AL/d152/m-t0627-00086-00054_occ_row_22.jpg	insurance
imgs/1940/AL/d152/m-t0627-00096-00424_occ_row_6.jpg	bellboy
imgs/1940/AL/d153/m-t0627-00009-00265_occ_row_5.jpg	house work
imgs/1940/AL/d153/m-t0627-00009-00429_occ_row_39.jpg	janitor
imgs/1940/AL/d153/m-t0627-00009-00703_occ_row_9.jpg	home
imgs/1940/AL/d153/m-t0627-00014-00116_occ_row_35.jpg	learner
imgs/1940/AL/d154/m-t0627-00004-00175_occ_row_35.jpg	sharecropper
imgs/1940/AL/d154/m-t0627-00013-00101_occ_row_36.jpg	farmer laborer
imgs/1940/AL/d154/m-t0627-00025-00530_occ_row_1.jpg	chauffeur
imgs/1940/AL/d155/m-t0627-00003-00419_occ_row_36.jpg	day laborer
imgs/1940/AL/d155/m-t0627-00021-00409_occ_row_38.jpg	schoolwork
imgs/1940/AL/d155/m-t0627-00028-00196_occ_row_8.jpg	weaver
imgs/1940/AL/d155/m-t0627-00034-00122_occ_row_12.jpg	stonemason
imgs/1940/AL/d155/m-t0627-00064-00689_occ_row_17.jpg	machinery
imgs/1940/AL/d155/m-t0627-00074-00644_occ_row_6.jpg	plumber
imgs/1940/AL/d155/m-t0627-00097-00534_occ_row_31.jpg	laundry pressman
imgs/1940/AL/d156/m-t0627-00031-00760_occ_row_30.jpg	plumber
imgs/1940/AL/d156/m-t0627-00038-00370_occ_row_5.jpg	mgr
imgs/1940/AL/d156/m-t0627-00046-00620_occ_row_37.jpg	foreman
imgs/1940/AL/d156/m-t0627-00053-00014_occ_row_26.jpg	operating
imgs/1940/AL/d156/m-t0627-00053-00014_occ_row_9.jpg	insurance
imgs/1940/AL/d157/m-t0627-00056-00013_occ_row_11.jpg	chiropractor
imgs/1940/AL/d157/m-t0627-00063-00390_occ_row_24.jpg	receptionist
imgs/1940/AL/d157/m-t0627-00064-01065_occ_row_15.jpg	dishwasher
imgs/1940/AL/d157/m-t0627-00089-00392_occ_row_20.jpg	helper
imgs/1940/AL/d157/m-t0627-00093-00154_occ_row_1.jpg	truck foreman
imgs/1940/AL/d158/m-t0627-00010-00564_occ_row_4.jpg	shipper
imgs/1940/AL/d158/m-t0627-00030-00696_occ_row_38.jpg	laundrens
imgs/1940/AL/d158/m-t0627-00050-00290_occ_row_31.jpg	tuna helper
imgs/1940/AL/d158/m-t0627-00059-00150_occ_row_40.jpg	laberor farmer
imgs/1940/AL/d158/m-t0627-00060-00314_occ_row_28.jpg	helper farmer
imgs/1940/AL/d158/m-t0627-00060-00314_occ_row_35.jpg	helper farmer
imgs/1940/AL/d158/m-t0627-00060-00314_occ_row_39.jpg	helper farmer
imgs/1940/AL/d158/m-t0627-00065-00821_occ_row_20.jpg	apprentice
imgs/1940/AL/d158/m-t0627-00067-00554_occ_row_36.jpg	trucker
imgs/1940/AL/d158/m-t0627-00070-00770_occ_row_24.jpg	laundress
imgs/1940/AL/d158/m-t0627-00085-00023_occ_row_20.jpg	dietitian
imgs/1940/AL/d16/m-t0627-00005-00359_occ_row_31.jpg	mines
imgs/1940/AL/d16/m-t0627-00037-00190_occ_row_33.jpg	operater
imgs/1940/AL/d16/m-t0627-00038-00428_occ_row_27.jpg	upholsterer
imgs/1940/AL/d160/m-t0627-00002-00431_occ_row_29.jpg	sheriff
imgs/1940/AL/d160/m-t0627-00020-00152_occ_row_1.jpg	clergy
imgs/1940/AL/d161/m-t0627-00064-00073_occ_row_20.jpg	pipe fitter
imgs/1940/AL/d161/m-t0627-00064-00930_occ_row_40.jpg	instructor
imgs/1940/AL/d161/m-t0627-00066-00650_occ_row_1.jpg	larner
imgs/1940/AL/d161/m-t0627-00066-00650_occ_row_11.jpg	larner
imgs/1940/AL/d161/m-t0627-00066-00650_occ_row_17.jpg	larner
imgs/1940/AL/d161/m-t0627-00098-00579_occ_row_6.jpg	tinner
imgs/1940/AL/d162/m-t0627-00007-00255_occ_row_16.jpg	sharecropper
imgs/1940/AL/d162/m-t0627-00050-00083_occ_row_10.jpg	electrician
imgs/1940/AL/d162/m-t0627-00050-00421_occ_row_40.jpg	wash woman
imgs/1940/AL/d162/m-t0627-00051-00277_occ_row_22.jpg	operater
imgs/1940/AL/d162/m-t0627-00069-00031_occ_row_40.jpg	painter
imgs/1940/AL/d162/m-t0627-00083-00102_occ_row_26.jpg	folder
imgs/1940/AL/d162/m-t0627-00095-00165_occ_row_17.jpg	carrier
imgs/1940/AL/d163/m-t0627-00006-00123_occ_row_39.jpg	spinner
imgs/1940/AL/d163/m-t0627-00009-00040_occ_row_5.jpg	fixer
imgs/1940/AL/d163/m-t0627-00026-00301_occ_row_6.jpg	housework
imgs/1940/AL/d163/m-t0627-00046-00052_occ_row_16.jpg	mines
imgs/1940/AL/d163/m-t0627-00064-00608_occ_row_12.jpg	delivery man
imgs/1940/AL/d163/m-t0627-00064-00608_occ_row_25.jpg	paxter
imgs/1940/AL/d164/m-t0627-00080-00154_occ_row_9.jpg	servant
imgs/1940/AL/d164/m-t0627-00092-00005_occ_row_4.jpg	gardner
imgs/1940/AL/d164/m-t0627-00094-00432_occ_row_21.jpg	floorman
imgs/1940/AL/d165/m-t0627-00005-00340_occ_row_19.jpg	labrer
imgs/1940/AL/d165/m-t0627-00011-00151_occ_row_36.jpg	farmed in laborer
imgs/1940/AL/d165/m-t0627-00046-00591_occ_row_15.jpg	stonemason
imgs/1940/AL/d165/m-t0627-00059-00368_occ_row_8.jpg	labor farmer
imgs/1940/AL/d165/m-t0627-00063-00252_occ_row_5.jpg	fisherman
imgs/1940/AL/d165/m-t0627-00069-00418_occ_row_14.jpg	proprietor barber shop
imgs/1940/AL/d165/m-t0627-00079-00367_occ_row_12.jpg	deliverer
imgs/1940/AL/d165/m-t0627-00079-00780_occ_row_37.jpg	electrician
imgs/1940/AL/d166/m-t0627-00003-00209_occ_row_38.jpg	folder
imgs/1940/AL/d166/m-t0627-00046-00492_occ_row_12.jpg	pay master
imgs/1940/AL/d166/m-t0627-00058-00057_occ_row_21.jpg	electrical
imgs/1940/AL/d166/m-t0627-00058-00155_occ_row_32.jpg	hauls lumber
imgs/1940/AL/d166/m-t0627-00088-00037_occ_row_33.jpg	treasuries
imgs/1940/AL/d167/m-t0627-00058-00184_occ_row_1.jpg	farmer farms work
imgs/1940/AL/d167/m-t0627-00082-00379_occ_row_9.jpg	automobile
imgs/1940/AL/d167/m-t0627-00093-00810_occ_row_3.jpg	landscaper
imgs/1940/AL/d168/m-t0627-00003-00753_occ_row_26.jpg	teaches day
imgs/1940/AL/d168/m-t0627-00011-00275_occ_row_38.jpg	farm help
imgs/1940/AL/d168/m-t0627-00025-00416_occ_row_38.jpg	designer
imgs/1940/AL/d168/m-t0627-00050-00067_occ_row_1.jpg	cabinet builder
imgs/1940/AL/d168/m-t0627-00059-00054_occ_row_11.jpg	farmis
imgs/1940/AL/d168/m-t0627-00060-00039_occ_row_26.jpg	plumbing
imgs/1940/AL/d168/m-t0627-00060-00232_occ_row_27.jpg	hired hand farmer
imgs/1940/AL/d168/m-t0627-00084-00807_occ_row_23.jpg	optometrist
imgs/1940/AL/d169/m-t0627-00071-00013_occ_row_17.jpg	truck driver sales mgr
imgs/1940/AL/d17/m-t0627-00009-00270_occ_row_19.jpg	housework
imgs/1940/AL/d17/m-t0627-00009-00270_occ_row_7.jpg	laundres
imgs/1940/AL/d17/m-t0627-00019-00296_occ_row_25.jpg	spinner
imgs/1940/AL/d17/m-t0627-00019-00564_occ_row_19.jpg	deputy
imgs/1940/AL/d17/m-t0627-00064-00034_occ_row_22.jpg	shipper
imgs/1940/AL/d17/m-t0627-00068-00121_occ_row_11.jpg	examiner
imgs/1940/AL/d17/m-t0627-00069-00018_occ_row_38.jpg	fireman
imgs/1940/AL/d17/m-t0627-00091-00482_occ_row_6.jpg	landscaper
imgs/1940/AL/d170/m-t0627-00017-00091_occ_row_40.jpg	lalner
imgs/1940/AL/d170/m-t0627-00018-00450_occ_row_37.jpg	farm labor
imgs/1940/AL/d170/m-t0627-00036-00116_occ_row_12.jpg	chauffeur
imgs/1940/AL/d170/m-t0627-00046-00763_occ_row_35.jpg	driver
